City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Otane,NZ,-39.88,176.63,55.99,84,100,2.35,overcast clouds,0.0,0
1,Qaanaaq,GL,77.48,-69.36,34.07,84,100,2.82,overcast clouds,0.0,0
2,Lebu,CL,-37.62,-73.65,52.66,86,100,16.49,light rain,0.21,0
3,Victoria,HK,22.29,114.16,93.0,66,26,15.01,scattered clouds,0.0,0
4,Cherskiy,RU,68.75,161.3,83.64,23,3,5.26,clear sky,0.0,0
5,Mataura,NZ,-46.19,168.86,45.57,84,78,1.83,broken clouds,0.0,0
6,Ponta Do Sol,PT,32.67,-17.1,68.0,72,75,6.93,broken clouds,0.0,0
7,Issenye,TZ,-2.0,34.33,65.08,84,71,2.08,light rain,0.29,0
8,Torbay,CA,47.67,-52.73,44.01,100,90,6.93,fog,0.0,0
9,Hilo,US,19.73,-155.09,80.6,61,90,5.82,overcast clouds,0.0,0
10,Wahiawa,US,21.5,-158.02,82.4,57,90,13.87,overcast clouds,0.0,0
11,Atuona,PF,-9.8,-139.03,80.29,74,88,14.61,overcast clouds,0.0,0
12,Beyneu,KZ,45.32,55.2,81.41,29,5,21.5,clear sky,0.0,0
13,Los Llanos De Aridane,ES,28.66,-17.92,71.6,64,20,9.17,few clouds,0.0,0
14,Mandalgovi,MN,45.76,106.27,77.54,36,90,10.49,overcast clouds,0.0,0
15,Mpanda,TZ,-6.37,31.04,65.97,66,90,3.65,overcast clouds,0.0,0
16,Cape Town,ZA,-33.93,18.42,60.01,93,75,4.7,broken clouds,0.0,0
17,Butaritari,KI,3.07,172.79,80.37,83,100,17.63,overcast clouds,0.0,0
18,Bluff,NZ,-46.6,168.33,46.94,73,87,10.13,overcast clouds,0.0,0
19,Port Elizabeth,ZA,-33.92,25.57,59.0,41,21,4.7,few clouds,0.0,0
20,Carnarvon,AU,-24.87,113.63,69.8,56,0,5.82,clear sky,0.0,0
21,Rikitea,PF,-23.12,-134.97,75.29,82,100,19.51,overcast clouds,0.0,0
22,Jamestown,US,42.1,-79.24,64.0,100,1,4.7,mist,0.0,0
23,Tasiilaq,GL,65.61,-37.64,37.2,82,100,3.56,overcast clouds,0.0,0
24,Saskylakh,RU,71.92,114.08,82.44,26,60,8.79,broken clouds,0.0,0
25,Umm Lajj,SA,25.02,37.27,80.62,57,3,4.0,clear sky,0.0,0
26,Tuatapere,NZ,-46.13,167.68,48.58,82,45,3.15,scattered clouds,0.0,0
27,Sao Raimundo Nonato,BR,-9.02,-42.7,72.0,62,0,4.54,clear sky,0.0,0
28,Vaini,TO,-21.2,-175.2,75.2,73,75,8.05,broken clouds,0.0,0
29,Broome,US,42.25,-75.83,66.99,82,1,6.93,clear sky,0.0,0
30,At-Bashi,KG,41.17,75.81,63.21,30,0,7.05,clear sky,0.0,0
31,Sao Sebastiao,BR,-23.76,-45.41,70.07,67,0,4.65,clear sky,0.0,0
32,Yellowknife,CA,62.46,-114.35,79.0,27,20,12.75,few clouds,0.0,0
33,Barrow,US,71.29,-156.79,42.8,70,20,9.17,few clouds,0.0,0
34,Codrington,AU,-38.27,141.97,57.94,66,18,14.05,few clouds,0.0,0
35,Gaogou,CN,34.02,119.19,84.31,37,85,7.31,overcast clouds,0.0,0
36,Podor,MR,16.65,-14.96,82.4,65,0,2.24,clear sky,0.0,0
37,Mana,GF,5.66,-53.78,77.94,88,7,6.98,clear sky,0.0,0
38,Dunda,TZ,-8.12,34.25,56.71,79,31,2.26,scattered clouds,0.0,0
39,Ushuaia,AR,-54.8,-68.3,37.4,86,75,5.82,broken clouds,0.0,0
40,Glace Bay,CA,46.2,-59.96,63.0,93,20,3.98,few clouds,0.0,0
41,Punta Arenas,CL,-53.15,-70.92,33.8,83,54,10.29,broken clouds,0.0,0
42,Avarua,CK,-21.21,-159.78,73.4,60,67,8.05,broken clouds,0.0,0
43,Castro Valley,US,37.69,-122.09,71.01,72,1,14.99,clear sky,0.0,0
44,Hobart,AU,-42.88,147.33,55.4,87,40,5.82,haze,0.0,0
45,Hofn,IS,64.25,-15.21,51.06,83,100,16.4,overcast clouds,0.0,0
46,Andrews,US,32.32,-102.55,77.0,53,1,8.05,clear sky,0.0,0
47,Kapaa,US,22.08,-159.32,80.6,69,40,18.34,scattered clouds,0.0,0
48,Bambous Virieux,MU,-20.34,57.76,70.0,88,75,12.75,shower rain,0.0,0
49,Cap Malheureux,MU,-19.98,57.61,70.0,83,83,8.01,broken clouds,0.0,0
50,Katherine,AU,-14.47,132.27,89.6,31,75,12.75,broken clouds,0.0,0
51,Barbastro,ES,42.04,0.13,60.8,93,0,3.36,clear sky,0.0,0
52,Aklavik,CA,68.22,-135.01,48.2,93,90,6.93,overcast clouds,0.0,0
53,Elektrenai,LT,54.77,24.63,68.0,77,10,4.7,clear sky,0.0,0
54,Ratnagiri,IN,16.98,73.3,84.34,76,99,7.18,light rain,0.12,0
55,Gao,ML,16.64,1.64,89.24,30,52,10.16,broken clouds,0.0,0
56,Ambon,ID,-3.7,128.18,82.0,12,89,18.34,light rain,0.16,0
