City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Cherskiy,RU,83.64,clear sky,68.75,161.3,Gostinitsa
9,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
10,Wahiawa,US,82.4,overcast clouds,21.5,-158.02,Aloha Wahiawa
11,Atuona,PF,80.29,overcast clouds,-9.8,-139.03,Villa Enata
12,Beyneu,KZ,81.41,clear sky,45.32,55.2,NUR
14,Mandalgovi,MN,77.54,overcast clouds,45.76,106.27,В.Ганбат
17,Butaritari,KI,80.37,overcast clouds,3.07,172.79,Isles Sunset Lodge
21,Rikitea,PF,75.29,overcast clouds,-23.12,-134.97,Pension Maro'i
24,Saskylakh,RU,82.44,broken clouds,71.92,114.08,
25,Umm Lajj,SA,80.62,clear sky,25.02,37.27,Tanal Hotel Apartment
28,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
32,Yellowknife,CA,79.0,few clouds,62.46,-114.35,The Explorer Hotel
35,Gaogou,CN,84.31,overcast clouds,34.02,119.19,GreenTree Inn JiangSu Huaian Gaogou Town First Street Shell Hotel
36,Podor,MR,82.4,clear sky,16.65,-14.96,La cour du fleuve
37,Mana,GF,77.94,clear sky,5.66,-53.78,LE SAMANA
46,Andrews,US,77.0,clear sky,32.32,-102.55,Days Inn by Wyndham Andrews Texas
47,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
50,Katherine,AU,89.6,broken clouds,-14.47,132.27,Pine Tree Motel
55,Gao,ML,89.24,broken clouds,16.64,1.64,
58,Kerewan,GM,80.38,broken clouds,13.49,-16.09,
59,Mbini,GQ,76.19,overcast clouds,1.57,9.61,
60,Bundaberg,AU,75.0,broken clouds,-24.85,152.35,Takalvan Motel
61,Dabou,CI,77.0,few clouds,5.33,-4.38,Le Cognac de Dabou
67,Hope,US,80.01,scattered clouds,33.67,-93.59,Best Western Hope
70,Key West,US,86.0,clear sky,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
73,Porto Novo,BJ,75.92,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
81,Xichang,CN,75.74,overcast clouds,27.9,102.26,Xichang ibis Hotel
91,Najran,SA,80.6,overcast clouds,17.49,44.13,محمد هادي ال فطيح
92,Albany,US,75.0,broken clouds,42.6,-73.97,
94,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
101,Yumen,CN,87.04,overcast clouds,40.28,97.2,
112,Bastrop,US,77.0,clear sky,32.76,-91.87,Budget Inn
121,Cayenne,GF,77.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
122,Kilindoni,TZ,77.54,few clouds,-7.91,39.67,Bustani B&B
124,Borogontsy,RU,80.8,scattered clouds,62.67,131.17,
127,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
128,Kavieng,PG,85.68,scattered clouds,-2.57,150.8,Nusa Island Retreat
130,Port Blair,IN,85.66,overcast clouds,11.67,92.75,Hotel Sentinel
131,Ixtapa,MX,80.01,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
140,Saint George,US,82.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
145,Kloulklubed,PW,86.0,broken clouds,7.04,134.26,Storyboard Beach Resort
148,Russell,US,80.6,clear sky,32.35,-85.2,Macs
150,Dharchula,IN,79.48,clear sky,29.85,80.53,Mahara Hotel
153,Kudahuvadhoo,MV,83.8,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
155,Garowe,SO,79.09,broken clouds,8.41,48.48,Curubo Hotel
165,Katsuura,JP,82.99,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
169,Felipe Carrillo Puerto,MX,76.32,overcast clouds,19.58,-88.05,Hotel La Ceiba
170,Hobyo,SO,79.74,broken clouds,5.35,48.53,Osmani Hotel
172,Srednekolymsk,RU,89.17,overcast clouds,67.45,153.68,
176,Bilma,NE,84.69,broken clouds,18.69,12.92,Expeditions Ténére voyages
181,Komsomolskiy,UZ,80.6,clear sky,40.43,71.72,Ikathouse
182,Natal,BR,75.2,light rain,-5.79,-35.21,Villa Park Hotel | Natal
189,Axim,GH,76.51,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
191,Salalah,OM,82.4,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
192,Pemangkat,ID,86.45,scattered clouds,1.17,108.97,Kost H.Syamsuddin
195,Cockburn Town,TC,82.31,clear sky,21.46,-71.14,Osprey Beach Hotel
203,San Pedro,PH,90.0,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
205,Dawei,MM,87.48,overcast clouds,14.08,98.2,Hotel Dawei
216,Keti Bandar,PK,89.47,few clouds,24.14,67.45,Haji laloo memon house
217,Nanning,CN,87.8,scattered clouds,22.82,108.32,Nanning Travelling With Hostel
218,Progreso,MX,82.0,broken clouds,21.28,-89.67,Playa Linda Hotel
220,Padang,ID,86.27,broken clouds,-0.95,100.35,Mercure Padang
223,Namtsy,RU,80.6,scattered clouds,62.72,129.67,"""Эңсиэли Киин"""
224,Zhanaozen,KZ,86.56,clear sky,43.3,52.8,K.korabay 28A
228,Gwadar,PK,86.25,few clouds,25.12,62.33,Sadaf Resort
230,Desdunes,HT,80.15,clear sky,19.3,-72.65,Ozanana Hotel
233,Faanui,PF,80.38,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
235,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
241,Juarez,MX,89.6,broken clouds,31.73,-106.48,Holiday Inn Express El Paso-Central
247,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
248,Singaraja,ID,85.35,overcast clouds,-8.11,115.09,Puri Bagus Lovina Resort
253,Shahreza,IR,81.95,clear sky,32.03,51.88,خوابگاه
255,Tagusao,PH,87.3,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
257,San Patricio,MX,78.42,clear sky,19.22,-104.7,Hotel Cabo Blanco
258,Sao Filipe,CV,75.49,clear sky,14.9,-24.5,Tortuga B&B
263,Zhigansk,RU,77.72,scattered clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
264,Praxedis Guerrero,MX,89.6,broken clouds,31.37,-106.02,
265,Neiafu,TO,78.8,broken clouds,-18.65,-173.98,Mystic Sands
271,Deputatskiy,RU,83.64,clear sky,69.3,139.9,Baza Otdykha
272,Ransang,PH,87.87,overcast clouds,8.96,117.58,
275,Bilibino,RU,78.1,overcast clouds,68.05,166.44,Gostinitsa Severyanka
276,Coahuayana,MX,78.22,scattered clouds,18.73,-103.68,Hotel Los Arcos
277,Sangar,RU,77.97,scattered clouds,63.92,127.47,
279,Isangel,VU,78.8,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
280,Pitimbu,BR,77.56,scattered clouds,-7.47,-34.81,Reserva do Abiaí
289,Khao Yoi,TH,87.8,few clouds,13.24,99.82,ปิ่นทองอพาร์ทเม้นต์
290,Kerrville,US,77.0,clear sky,30.05,-99.14,Hampton Inn Kerrville
294,Ano Mera,GR,75.99,few clouds,37.45,25.4,Hotel La Résidence Mykonos
300,Aswan,EG,78.17,clear sky,24.09,32.91,Nuba Nile
302,Krasnyy Yar,RU,84.2,broken clouds,46.53,48.35,Cottege near Ufa
303,Ishigaki,JP,89.6,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
305,Tumalaytay,PH,89.28,broken clouds,12.28,123.23,
308,Sabha,LY,80.35,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
314,Kununurra,AU,89.6,clear sky,-15.77,128.73,Hotel Kununurra
317,Tezu,IN,85.73,broken clouds,27.92,96.17,Circuit House
319,Ayorou,NE,86.07,scattered clouds,14.73,0.92,Hotel Amenokal
320,Acapulco,MX,81.5,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
322,Tamandare,BR,76.59,scattered clouds,-8.76,-35.1,Pousada 100 Passos
324,El Vigia,VE,76.15,overcast clouds,8.62,-71.65,Liceo Bolivariano 19 De Abril
325,Baghdad,IQ,77.0,clear sky,33.34,44.4,Baghdad Hotel
328,Champerico,GT,82.54,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
329,Anadyr,RU,77.0,few clouds,64.75,177.48,"Гостиница ""Анадырь"""
330,Laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
333,Kalmunai,LK,89.13,overcast clouds,7.42,81.82,VS Villa
336,Belmonte,BR,75.2,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
337,Yantal,RU,80.08,overcast clouds,56.85,105.25,
339,Tongchuan,CN,80.17,broken clouds,35.08,109.09,Tongchuan Hotel
340,Apartado,CO,76.15,overcast clouds,7.88,-76.63,Towers100 Aparta Estudios
341,Kavaratti,IN,86.0,scattered clouds,10.57,72.64,Bismillah Hotel And Lodging
354,Gorontalo,ID,89.11,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
361,Cameron Park,US,81.0,overcast clouds,38.67,-120.99,Quality Inn & Suites Cameron Park Shingle Springs
366,Cabo San Lucas,MX,84.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
367,Fukue,JP,75.2,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
369,Tarpon Springs,US,82.0,clear sky,28.15,-82.76,"Innisbrook, A Salamander Golf and Spa Resort"
370,Hasaki,JP,82.99,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
371,Turbat,PK,86.67,few clouds,26.0,63.04,Mubashar Quarters
373,Estelle,US,81.0,few clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
375,Suntar,RU,80.37,broken clouds,62.14,117.63,Gostevoy Dom
377,Jeremie,HT,80.55,clear sky,18.65,-74.12,Auberge Inn
386,Baruun-Urt,MN,76.44,overcast clouds,46.68,113.28,Ахмадын амралт сувилал
388,Shimoda,JP,77.0,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
389,Lae,PG,85.26,clear sky,-6.72,146.98,Phils Hotel
390,Salvador,SV,77.0,overcast clouds,13.83,-88.92,Chico's Ranch
391,Norman Wells,CA,78.8,broken clouds,65.28,-126.83,Heritage Hotel
399,Negombo,LK,86.0,few clouds,7.21,79.84,Hotel Sunset Beach
405,Verkhnevilyuysk,RU,82.33,clear sky,63.45,120.32,Gostinitsa Mila
407,Grande Prairie,CA,75.2,few clouds,55.17,-118.8,Holiday Inn Express Grande Prairie
411,Maningrida,AU,86.77,clear sky,-12.07,134.27,Dhukurrdji Lodge
412,Makakilo City,US,82.4,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
414,Kalianget,ID,84.51,broken clouds,-7.05,113.93,Pesanggrahan Garam
417,Bandar-E Anzali,IR,80.6,few clouds,37.47,49.46,Behesht Talab Hotel
428,Praia,CV,75.2,few clouds,14.92,-23.51,LT Aparthotel
441,Khowai,IN,89.6,scattered clouds,24.1,91.63,Bachai bari townhall
442,Quemado De Guines,CU,75.2,scattered clouds,22.79,-80.25,Hostal 1907
443,Wanning,CN,88.03,broken clouds,18.8,110.4,Paradise Hotel
450,Mangrol,IN,86.81,scattered clouds,21.12,70.12,Hotel The Royal Honours
457,Srandakan,ID,84.36,broken clouds,-7.94,110.25,Puri Brata
465,Shingu,JP,77.0,broken clouds,33.73,135.98,Shingu UI Hotel
466,Ise,JP,78.01,overcast clouds,34.48,136.7,Ise Shinsen
470,Yatou,CN,81.32,broken clouds,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
472,Bathsheba,BB,78.8,light rain,13.22,-59.52,Atlantis Hotel
473,Ust-Maya,RU,78.53,scattered clouds,60.42,134.53,
480,Lufkin,US,80.6,clear sky,31.34,-94.73,Courtyard by Marriott Lufkin
485,Filadelfia,US,75.2,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
489,Simpang,ID,87.06,overcast clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
494,Mashhad,IR,82.4,clear sky,36.3,59.61,Almas 1 Hotel
507,Guozhen,CN,81.7,overcast clouds,34.37,107.36,Yucai Hotel
511,Bahia Honda,CU,79.75,overcast clouds,22.9,-83.16,Casa Gualberto - Deysi
518,Bengkulu,ID,84.09,few clouds,-3.8,102.27,Grage Hotel Bengkulu
520,Manaskent,RU,78.8,clear sky,42.73,47.68,Baza Dgu
527,Xingyi,CN,75.13,broken clouds,24.19,102.82,
530,Bud,US,75.0,few clouds,39.45,-86.18,Madsion Scouts Camp
531,Vikramasingapuram,IN,87.8,haze,8.71,77.39,Papanasam Lodge (Raja Lodge & Tourist Home)
534,Kotelnikovo,RU,76.64,overcast clouds,47.63,43.15,7 Kings
536,Seoul,KR,84.2,scattered clouds,37.57,126.98,LOTTE HOTEL SEOUL
546,The Valley,AI,82.99,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
551,Vanavara,RU,75.76,clear sky,60.34,102.28,Church of Churches
552,Redwater,US,79.0,clear sky,33.36,-94.25,Little Ash Things
554,Ahuimanu,US,82.4,broken clouds,21.44,-157.84,Paradise Bay Resort
558,Oranjestad,AW,82.4,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
564,Rahimatpur,IN,78.55,overcast clouds,17.6,74.2,Swami Prasad Ice-cream parlor
568,Mount Isa,AU,80.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
569,Kathu,TH,86.0,scattered clouds,7.92,98.33,Sunset Beach Resort
570,Trincomalee,LK,88.18,overcast clouds,8.57,81.23,Welcombe Hotel
571,Harper,LR,77.72,overcast clouds,4.38,-7.72,Cape View Guest House
577,Naze,JP,77.0,light intensity shower rain,28.37,129.48,奄美ポートタワーホテル
580,Sola,VU,86.0,broken clouds,-13.88,167.55,Leumerus Bungalows
584,Batticaloa,LK,87.06,broken clouds,7.71,81.69,Grand Star Guest House
587,Hambantota,LK,87.8,few clouds,6.12,81.12,Bungalow 63
591,Bandarbeyla,SO,84.85,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
594,Arlit,NE,89.31,clear sky,18.74,7.39,Hôtel Telwa Bungalow
597,Etchoropo,MX,86.0,broken clouds,26.77,-109.67,Hotel Villa Mar
602,Herat,AF,77.0,clear sky,34.5,62.0,
606,Hit,IQ,80.96,clear sky,33.64,42.83,بيت اسماعبل محمد حمد
608,Honiara,SB,87.8,shower rain,-9.43,159.95,Heritage Park Hotel
614,Kamaishi,JP,77.0,scattered clouds,39.27,141.88,Hotel Route Inn Kamaishi
622,Houston,US,81.0,scattered clouds,29.76,-95.36,"Hotel ICON, Autograph Collection"
623,Nyurba,RU,80.62,few clouds,63.28,118.33,Gostinitsa Alrosa
626,Manggar,ID,82.33,overcast clouds,-2.88,108.27,Guest Hotel
635,Guiyang,CN,80.6,broken clouds,26.58,106.72,Guo Tai Hotel Guiyang
