City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2020-06-16 06:13:08,-33.59,26.89,57.0,95,75,2.26
1,Scarborough,GB,2020-06-16 06:10:29,54.28,-0.4,54.0,95,92,2.48
2,Ballina,AU,2020-06-16 06:13:08,-28.87,153.57,68.0,72,26,10.29
3,Punta Arenas,CL,2020-06-16 06:13:08,-53.15,-70.92,35.6,93,28,4.7
4,Nemuro,JP,2020-06-16 06:13:09,43.32,145.57,57.2,100,75,6.93
5,Hilo,US,2020-06-16 06:13:09,19.73,-155.09,77.0,69,20,4.7
6,New Norfolk,AU,2020-06-16 06:13:10,-42.78,147.06,43.0,78,64,1.99
7,Avarua,CK,2020-06-16 06:09:18,-21.21,-159.78,71.6,60,56,5.82
8,Hithadhoo,MV,2020-06-16 06:13:11,-0.6,73.08,84.76,75,27,14.63
9,Mengyin,CN,2020-06-16 06:13:12,35.71,117.93,86.81,31,100,5.32
10,Vicuna,CL,2020-06-16 06:13:12,-30.03,-70.71,43.0,90,41,1.01
11,Narok,KE,2020-06-16 06:13:12,-1.08,35.86,57.85,91,100,3.8
12,Vaini,TO,2020-06-16 06:13:13,-21.2,-175.2,71.6,68,20,13.87
13,Asau,RO,2020-06-16 06:13:14,46.43,26.4,64.99,83,74,3.44
14,Port Elizabeth,ZA,2020-06-16 06:11:33,-33.92,25.57,50.0,100,20,2.24
15,Atar,MR,2020-06-16 06:13:14,20.52,-13.05,92.01,21,34,17.13
16,Ostrovnoy,RU,2020-06-16 06:13:15,68.05,39.51,45.37,64,94,18.43
17,Kodiak,US,2020-06-16 06:13:15,57.79,-152.41,55.4,66,90,9.17
18,Chabahar,IR,2020-06-16 06:13:15,25.29,60.64,89.51,67,100,10.45
19,Shelburne,CA,2020-06-16 06:13:16,44.08,-80.2,53.01,93,1,2.93
20,Busselton,AU,2020-06-16 06:13:16,-33.65,115.33,66.0,47,92,14.83
21,Arraial Do Cabo,BR,2020-06-16 06:13:16,-22.97,-42.03,69.69,79,98,13.8
22,Presidencia Roque Saenz Pena,AR,2020-06-16 06:13:17,-26.79,-60.44,71.01,79,44,3.0
23,Hami,CN,2020-06-16 06:13:18,42.8,93.45,91.81,11,0,10.02
24,Taltal,CL,2020-06-16 06:13:18,-25.4,-70.48,55.87,77,100,2.51
25,Rockhampton,AU,2020-06-16 06:13:19,-23.38,150.5,78.8,47,20,5.82
26,Ketchikan,US,2020-06-16 06:13:19,55.34,-131.65,53.6,93,75,8.05
27,Ancud,CL,2020-06-16 06:13:20,-41.87,-73.82,52.0,93,90,23.04
28,Codrington,AU,2020-06-16 06:13:20,-38.27,141.97,56.16,78,76,14.9
29,Abu Samrah,SY,2020-06-16 06:13:21,35.3,37.18,76.6,37,0,11.07
30,Airai,TL,2020-06-16 06:13:21,-8.93,125.41,69.62,83,77,4.81
31,Clyde River,CA,2020-06-16 06:13:22,70.47,-68.59,30.2,100,90,12.75
32,Butaritari,KI,2020-06-16 06:13:22,3.07,172.79,84.38,74,7,8.52
33,Iquitos,PE,2020-06-16 06:13:22,-3.75,-73.25,72.81,98,88,0.65
34,Buraydah,SA,2020-06-16 06:13:22,26.33,43.98,93.2,23,0,19.46
35,Norman Wells,CA,2020-06-16 06:13:23,65.28,-126.83,62.6,42,75,3.36
36,Ushuaia,AR,2020-06-16 06:09:08,-54.8,-68.3,35.6,85,40,3.36
37,Qena,EG,2020-06-16 06:13:24,26.16,32.72,78.8,41,0,3.33
38,Kildinstroy,RU,2020-06-16 06:13:24,68.8,33.1,44.6,59,75,8.95
39,Albany,US,2020-06-16 06:13:25,42.6,-73.97,55.99,70,0,2.89
40,Caravelas,BR,2020-06-16 06:13:27,-17.71,-39.25,74.86,78,97,10.69
41,Bengkulu,ID,2020-06-16 06:13:27,-3.8,102.27,87.35,64,47,10.38
42,Kaitangata,NZ,2020-06-16 06:13:28,-46.28,169.85,55.0,65,100,1.01
43,Sitka,US,2020-06-16 06:13:28,57.05,-135.33,53.6,76,75,11.41
44,Hermanus,ZA,2020-06-16 06:13:28,-34.42,19.23,52.0,86,14,4.0
45,Guerrero Negro,MX,2020-06-16 06:13:28,27.98,-114.06,62.96,89,0,13.38
46,Narsaq,GL,2020-06-16 06:13:29,60.92,-46.05,39.2,86,100,8.05
